famille	rang	photo	libelle1	libelle2	libelle3	libelle4	libelle5	libelle6	pvttc	pvht	tva	tph	pvbarre	refweb	etat	four	reffour
11	31	d0-53.jpg	DIAM'SD0.53	Solitaire en or jaune 18 carats 1 diamant de 0,15 carat  et 12 diamants de 0.01 carat FSI1		Or jaune<BR>OR 18 CARATS<BR>3,50 Gr<BR><PUn><BR><PCn>			 147137.00	 146770.04	    366.96	      0.00	      0.00	35.0D 999		999	D0.53
11	32	d0-54-ob.jpg	DIAM'SD0.54/OB	Solitaire en or blanc 18 carats 1 diamant de 0.32 carat couleur E pureté VS1 GIA REPORT 1112939731		Or blanc<BR>OR 18 CARATS<BR>5,80 Gr<BR><PUn><BR><PCn>			 241100.00	 240498.70	    601.30	      0.00	      0.00	BO/45.0D 999		999	D0.54/OB
11	33	d0-58-ob.jpg	DIAM'SD0.58/OB	Solitaire en or blanc 18 carats 1 diamant de 0.18 carat couleur F pureté SI1		Or blanc<BR>OR 18 CARATS<BR>4,30 Gr<BR><PUn><BR><PCn>			 152360.00	 151980.01	    379.99	      0.00	      0.00	BO/85.0D 999		999	D0.58/OB
11	34	d0-64-ob.jpg	DIAM'SD0.64/OB	Solitaire en or blanc 18 carats 1 diamant 0.15 carat 12 diamants 0.01 carat couleur F pureté SI1		Or blanc<BR>OR 18 CARATS<BR>2,80 Gr<BR><PUn><BR><PCn>			 145000.00	 144638.37	    361.63	      0.00	      0.00	BO/46.0D 999		999	D0.64/OB
11	35	d0-66.jpg	DIAM'SD0.66	Solitaire en or jaune 18 carats 1diamant de 0.20 carat couleur F  pureté SI1		Or jaune<BR>OR 18 CARATS<BR>3,00 Gr<BR><PUn><BR><PCn>			 119500.00	 119201.97	    298.03	      0.00	      0.00	66.0D 999		999	D0.66
11	36	d0-67.jpg	DIAM'SD0.67	Solitaire en or jaune 18 carats 1 diamant de 0,10 carat couleur F pureté SI1		Or jaune<BR>OR 18 CARATS<BR>2,90 Gr<BR><PUn><BR><PCn>			  68240.00	  68069.81	    170.19	      0.00	      0.00	76.0D 999		999	D0.67
11	37	d0-67-ob.jpg	DIAM'SD0.67/OB	Solitaire en or blanc 18 carats 1 diamant de 0.10 carat couleur F pureté SI1		Or blanc<BR>OR 18 CARATS<BR>3,30 Gr<BR><PUn><BR><PCn>			  83919.00	  83709.71	    209.29	      0.00	      0.00	BO/76.0D 999		999	D0.67/OB
11	38	d0-67-ro.jpg	DIAM'SD0.67/RO	Solitaire en or rose 18 carats 1 diamant de 0,10 carat couleur F pureté SI1		Or rose<BR>OR 18 CARATS<BR>2,90 Gr<BR><PUn><BR><PCn>			  72100.00	  71920.18	    179.82	      0.00	      0.00	OR/76.0D 999		999	D0.67/RO
11	39	d0-69-ob.jpg	DIAM'SD0.69/OB	Monture solitaire en or blanc 18 carats		Or blanc<BR>OR 18 CARATS<BR>3,70 Gr<BR><PUn><BR><PCn>			  61800.00	  61645.87	    154.13	      0.00	      0.00	BO/96.0D 999		999	D0.69/OB
11	40	d0-72-ob.jpg	DIAM'SD0.72-OB	Bague en or blanc 18 carats 1 diamant de 0.30 carat couleur F pureté SI1		<BR>OR 18 CARATS<BR>3,90 Gr<BR><PUn><BR><PCn>			 232861.00	 232280.24	    580.76	      0.00	      0.00	BO-27.0D 999		999	D0.72-OB
